career_name,required_skills,learning_path,common_job_titles,recommended_tools,career_id
Pilot,"Navigation, Flight Mechanics",Aviation school > Flying hours > License,"Commercial Pilot, Co-Pilot","Flight Simulator, Cockpit Instruments",38
Police Officer,"Law, Fitness",Written exam > Police academy > Field training,"Traffic Officer, Sub-Inspector","Handcuffs, Radio",39
Firefighter,"Rescue, Emergency Response",Physical training > Fire academy > Safety protocol,"Rescue Officer, Hose Operator","Fire Extinguisher, Gear",40
Civil Servant,"Administration, Policy",Take exams > Training > Office posting,"IAS, Revenue Officer","RTI Portal, Govt Docs",41
Chef,"Cooking, Creativity",Culinary school > Practice > Work in kitchens,"Sous Chef, Executive Chef","Knife Set, Oven",42
Waiter,"Customer Service, Menu Knowledge",Training > Practice > Upsell,"Server, Steward","POS Machine, Tray",43
Hotel Manager,"Operations, Guest Service",Hotel mgmt degree > Experience > Policy mgmt,"Front Desk Manager, Operations Head","PMS Software, Reservation System",44
Frontend Developer,"HTML, CSS, JavaScript, React",Learn HTML/CSS > Master JavaScript > Learn React > Build interfaces,"React Developer, UI Developer, Web Frontend Engineer","VSCode, React, Chrome DevTools",11
Backend Developer,"Node.js, Java, Databases, APIs",Learn Node.js > Study databases > Practice building APIs,"Node.js Developer, API Engineer, Server-side Developer","Postman, MongoDB, IntelliJ",12
Web Developer,"HTML, CSS, JavaScript, Angular",Learn HTML/CSS > Learn JavaScript > Master Angular > Build websites,"Web Developer, Angular Developer","Angular CLI, VSCode, Chrome DevTools",13
Machine Learning Engineer,"Python, Scikit-learn, ML Algorithms",Learn Python > Learn ML libraries > Build ML models,"ML Engineer, AI Developer","Jupyter, Scikit-learn, NumPy",14
DevOps Engineer,"Docker, Kubernetes, CI/CD, Linux",Learn DevOps tools > Build pipelines > Automate deployments,"SRE, Infrastructure Engineer","Docker, Jenkins, Kubernetes",15
Data Engineer,"SQL, Python, Big Data, ETL",Learn SQL > Learn Python > Work on ETL pipelines,"Big Data Engineer, Data Pipeline Engineer","Airflow, Spark, Hadoop",16
Database Administrator,"SQL, Database Tuning, Backups",Learn SQL > Understand indexing > Practice database operations,"DBA, SQL Admin","MySQL, PostgreSQL, SQL Server",17
Mobile App Developer,"Flutter, Dart, Android, iOS",Learn Dart > Use Flutter > Build cross-platform apps,"Flutter Developer, Mobile App Engineer","Flutter, Android Studio, Xcode",18
Cloud Architect,"AWS, GCP, Cloud Security",Get cloud certified > Learn architecture > Design scalable apps,"Cloud Solutions Architect, Cloud Consultant","AWS Console, GCP Console, Terraform",19
AI Research Scientist,"Deep Learning, NLP, Research",Learn advanced ML > Publish papers > Solve real-world problems,"AI Scientist, Researcher","PyTorch, HuggingFace, ArXiv",20
